Rk,Player,Nation,"Pos
▲",Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
246,Caue,brBRA,DF,RB Bragantino,18,2006,0.5,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,,Matches
247,Antonio Carlos,brBRA,DF,Sport Recife,31,1993,3.0,0,0,0,3,1,0,0,1,2,0,0,0,8,10,7,58.8,Matches
248,Igor Cariús,brBRA,DF,Sport Recife,31,1993,19.2,3,0,0,29,29,7,35,27,29,0,2,1,68,48,45,51.6,Matches
249,Juninho Capixaba,brBRA,DF,RB Bragantino,27,1997,21.9,4,0,0,34,41,3,52,21,35,0,0,0,103,46,30,60.5,Matches
250,Luan Cândido,brBRA,DF,Sport Recife,23,2001,14.6,2,0,0,20,7,2,12,17,6,0,1,1,38,34,11,75.6,Matches
251,Camutanga,brBRA,DF,Vitória,31,1993,13.8,7,0,0,19,9,1,0,13,10,0,0,0,39,29,28,50.9,Matches
252,Cadu,brBRA,DF,Atlético Mineiro,20,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
253,Raúl Cáceres,pyPAR,DF,Vitória,33,1991,18.7,6,0,0,22,5,3,59,9,21,0,1,0,46,23,18,56.1,Matches
254,Cacá,brBRA,DF,Corinthians,25,1999,15.6,4,0,0,20,17,0,1,10,20,0,2,0,61,34,18,65.4,Matches
255,Fabrício Bruno,brBRA,DF,Cruzeiro,28,1996,32.8,9,1,1,25,19,0,9,24,36,0,0,0,135,72,34,67.9,Matches
256,Emanuel Brítez,arARG,DF,Fortaleza,32,1992,17.7,10,0,0,19,18,1,12,20,14,0,1,0,65,40,33,54.8,Matches
257,Marllon Borges,brBRA,DF,Ceará,32,1992,23.1,3,0,0,18,12,0,2,12,11,0,0,0,47,39,33,54.2,Matches
258,Daniel Borges,brBRA,DF,Mirassol,31,1993,10.0,3,0,0,17,10,0,44,10,8,0,0,0,29,8,13,38.1,Matches
259,Matheus Bidu,brBRA,DF,Corinthians,25,1999,21.8,7,0,0,21,66,7,76,23,27,1,0,0,113,18,18,50.0,Matches
260,Bernardo,brBRA,DF,Juventude,19,2005,0.5,0,0,0,1,0,0,0,1,2,0,0,0,4,0,0,,Matches
261,Alexandro Bernabei,arARG,DF,Internacional,24,2000,28.7,10,1,1,62,34,3,125,37,44,1,1,0,153,16,35,31.4,Matches
262,Luis Benedetti,brBRA,DF,Palmeiras,18,2006,4.2,0,0,0,3,1,0,0,6,2,0,0,0,10,13,4,76.5,Matches
263,José Luis Rodríguez Bebanz,uyURU,DF,Vasco da Gama,27,1997,16.1,0,0,0,9,8,0,65,12,10,0,0,0,66,26,22,54.2,Matches
264,Alexander Barboza,arARG,DF,Botafogo (RJ),29,1995,23.9,14,0,0,50,3,2,2,22,37,0,0,0,110,71,30,70.3,Matches
265,Diogo Barbosa,brBRA,DF,Fortaleza,32,1992,13.8,2,0,0,7,14,0,22,11,18,0,0,0,38,15,18,45.5,Matches
266,Fabián Balbuena,pyPAR,DF,Grêmio,33,1991,2.5,0,0,0,0,3,0,1,4,2,0,0,0,6,5,3,62.5,Matches
267,Matheus Bahia,brBRA,DF,Ceará,25,1999,27.4,6,0,0,25,33,0,97,21,27,0,0,0,86,16,12,57.1,Matches
268,Gabriel Bahia,brBRA,DF,Botafogo (RJ),26,1998,2.6,0,0,0,2,1,0,0,2,2,0,0,0,8,8,4,66.7,Matches
269,Gastón Ávila,arARG,DF,Fortaleza,23,2001,25.8,4,0,0,23,25,1,29,25,42,1,1,0,79,35,43,44.9,Matches
270,Santiago Arias,coCOL,DF,Bahia,33,1992,15.8,3,0,0,10,18,3,34,18,15,0,2,0,68,11,11,50.0,Matches
271,Robert Arboleda,ecECU,DF,São Paulo,33,1991,22.9,4,0,0,21,15,4,1,17,21,1,0,0,82,48,29,62.3,Matches
272,Guilherme Arana,brBRA,DF,Atlético Mineiro,27,1997,19.4,7,0,0,20,17,2,67,17,17,0,0,0,88,13,22,37.1,Matches
273,Fabrizio Angileri,arARG,DF,Corinthians,30,1994,18.2,4,0,0,18,5,1,60,10,23,0,1,0,60,29,21,58.0,Matches
274,Wilker Ángel,veVEN,DF,Juventude,31,1993,15.8,5,0,0,26,4,3,0,12,7,0,1,0,20,42,20,67.7,Matches
275,Júnior Alonso,pyPAR,DF,Atlético Mineiro,31,1993,29.0,6,2,0,23,11,0,11,32,18,0,0,1,111,62,42,59.6,Matches
276,Matheus Alexandre,brBRA,DF,Sport Recife,25,1999,19.8,9,1,1,29,14,0,47,33,33,1,1,0,78,30,16,65.2,Matches
277,Braian Aguirre,arARG,DF,Internacional,24,2000,26.5,4,0,0,44,6,3,79,31,43,2,0,0,102,13,31,29.5,Matches
278,Abner,brBRA,DF,Juventude,20,2004,14.6,3,0,0,16,5,1,0,18,11,0,0,0,36,32,8,80.0,Matches
